DATE,HOME_ABBR,VISITOR_ABBR,PTS_home,PTS_away,margin,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away
2020-12-31,IND,CLE,119.0,99.0,20,.483,.792,.457,28,44,.451,.542,.522,22,43
2020-12-31,WAS,CHI,130.0,133.0,-3,.500,.780,.483,27,37,.543,.760,.389,34,44
2020-12-31,ORL,PHI,92.0,116.0,-24,.347,.905,.250,17,48,.484,.867,.455,23,54
2020-12-31,HOU,SAC,122.0,119.0,3,.523,.760,.361,26,45,.469,.750,.333,23,45
2020-12-31,TOR,NYK,100.0,83.0,17,.410,.714,.327,21,53,.364,.800,.083,21,48
2020-12-31,OKC,NOP,80.0,113.0,-33,.375,.333,.313,24,40,.484,.632,.361,23,58
2020-12-31,UTA,PHO,95.0,106.0,-11,.417,.684,.353,16,46,.488,.700,.515,26,41
2021-01-01,CHO,MEM,93.0,108.0,-15,.407,.667,.290,23,42,.478,.800,.359,34,48
2021-01-01,DAL,MIA,93.0,83.0,10,.410,.739,.324,18,49,.372,.720,.212,20,41
2021-01-01,DET,BOS,96.0,93.0,3,.409,.650,.324,18,48,.470,.500,.258,20,44
2021-01-01,BRK,ATL,96.0,114.0,-18,.407,.826,.189,19,45,.462,.857,.410,24,48
2021-01-01,MIL,CHI,126.0,96.0,30,.494,.667,.489,27,44,.437,.700,.231,18,42
2021-01-01,MIN,WAS,109.0,130.0,-21,.477,.571,.361,17,43,.551,.762,.485,35,43
2021-01-01,SAS,LAL,103.0,109.0,-6,.424,.692,.382,23,45,.406,.813,.424,27,58
2021-01-01,DEN,PHO,103.0,106.0,-3,.453,.813,.414,28,38,.487,.905,.371,24,37
2021-01-01,UTA,LAC,106.0,100.0,6,.461,.643,.357,28,46,.388,.875,.394,19,43
2021-01-01,GSW,POR,98.0,123.0,-25,.392,.879,.200,19,44,.435,.767,.465,23,51
2021-01-02,HOU,SAC,102.0,94.0,8,.444,.739,.317,15,48,.389,.714,.321,11,47
2021-01-02,IND,NYK,102.0,106.0,-4,.405,.833,.380,22,32,.506,.769,.444,23,51
2021-01-02,ORL,OKC,99.0,108.0,-9,.370,.750,.263,21,55,.442,.905,.317,22,52
2021-01-02,PHI,CHO,127.0,112.0,15,.595,.708,.457,35,45,.413,.885,.371,34,40
2021-01-02,ATL,CLE,91.0,96.0,-5,.412,.526,.344,22,48,.418,.765,.241,19,46
2021-01-02,NOP,TOR,120.0,116.0,4,.422,.766,.368,26,50,.418,.963,.292,21,40
2021-01-03,DET,BOS,120.0,122.0,-2,.477,.880,.444,29,33,.563,.692,.455,35,41
2021-01-03,BRK,WAS,122.0,123.0,-1,.494,.903,.438,25,51,.413,.735,.364,27,49
2021-01-03,MEM,LAL,94.0,108.0,-14,.411,.875,.273,23,50,.461,.737,.343,24,49
2021-01-03,MIN,DEN,109.0,124.0,-15,.518,.688,.323,30,36,.489,.714,.422,34,43
2021-01-03,SAS,UTA,109.0,130.0,-21,.419,.714,.316,23,45,.551,.579,.512,29,57
2021-01-03,CHI,DAL,118.0,108.0,10,.459,.900,.351,16,48,.438,.704,.262,23,41
2021-01-03,PHO,LAC,107.0,112.0,-5,.493,.821,.303,23,40,.482,.789,.586,24,37
2021-01-03,GSW,POR,137.0,122.0,15,.557,.765,.382,23,53,.418,.788,.326,16,40
2021-01-04,ORL,CLE,103.0,83.0,20,.432,.923,.441,22,54,.388,.583,.357,20,35
2021-01-04,PHI,CHO,118.0,101.0,17,.484,.652,.344,34,55,.419,.727,.333,30,47
2021-01-04,ATL,NYK,108.0,113.0,-5,.460,.783,.323,24,40,.506,.800,.333,26,45
2021-01-04,MIA,OKC,118.0,90.0,28,.568,.556,.471,34,47,.367,.704,.271,20,38
2021-01-04,TOR,BOS,114.0,126.0,-12,.400,.763,.351,20,37,.488,.853,.517,19,56
2021-01-04,HOU,DAL,100.0,113.0,-13,.390,.806,.275,17,35,.476,.950,.410,24,51
2021-01-04,MIL,DET,125.0,115.0,10,.576,.813,.412,32,49,.439,1.000,.425,27,31
2021-01-04,NOP,IND,116.0,118.0,-2,.436,.792,.333,26,57,.484,.692,.422,32,42
2021-01-04,GSW,SAC,137.0,106.0,31,.526,.857,.535,41,48,.378,.718,.286,20,52
2021-01-05,BRK,UTA,130.0,96.0,34,.559,.750,.389,31,51,.384,.704,.324,17,41
