Rk,G,Date,Age,Tm,,Opp,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
57,57,2/25/2015,25-183,HOU,,LAC,W (+5),1,36:29:00,4,13,0.308,3,9,0.333,10,12,0.833,0,4,4,10,0,0,3,1,21,17.5,-6
58,58,2/27/2015,25-185,HOU,,BRK,W (+4),1,38:20:00,4,15,0.267,0,4,0,7,7,1,0,5,5,12,1,0,4,3,15,11.8,3
59,59,3/1/2015,25-187,HOU,,CLE,W (+2),1,42:21:00,8,18,0.444,2,6,0.333,15,18,0.833,2,6,8,5,3,2,5,3,33,27.3,14
61,60,3/4/2015,25-190,HOU,,MEM,L (-2),1,41:24:00,7,16,0.438,2,7,0.286,2,2,1,1,3,4,13,1,2,3,1,18,19.3,10
62,61,3/6/2015,25-192,HOU,,DET,W (+10),1,37:46:00,10,21,0.476,2,6,0.333,16,18,0.889,1,11,12,12,1,0,7,1,38,32.5,28
63,62,3/7/2015,25-193,HOU,@,DEN,W (+14),1,36:29:00,8,19,0.421,2,4,0.5,10,11,0.909,1,3,4,7,2,0,4,5,28,20,5
64,63,3/11/2015,25-197,HOU,@,POR,L (-5),1,38:08:00,7,19,0.368,0,3,0,4,5,0.8,1,1,2,6,3,0,4,3,18,10.1,2
65,64,3/12/2015,25-198,HOU,@,UTA,L (-18),1,34:00:00,3,13,0.231,0,5,0,9,13,0.692,2,2,4,7,3,0,3,1,15,12,-16
66,65,3/15/2015,25-201,HOU,@,LAC,W (+2),1,40:38:00,7,16,0.438,3,5,0.6,17,18,0.944,0,7,7,7,0,0,3,3,34,28,5
67,66,3/17/2015,25-203,HOU,,ORL,W (+13),1,34:40:00,4,14,0.286,1,4,0.25,8,11,0.727,1,7,8,4,3,0,4,1,17,11.8,14
68,67,3/19/2015,25-205,HOU,,DEN,W (+10),1,40:09:00,12,27,0.444,4,12,0.333,22,25,0.88,1,9,10,4,1,0,4,2,50,37.1,22
69,68,3/21/2015,25-207,HOU,,PHO,L (-15),1,32:33:00,5,19,0.263,1,8,0.125,5,5,1,1,1,2,5,0,2,5,3,16,4.4,-27
70,69,3/23/2015,25-209,HOU,@,IND,W (+10),1,43:05:00,10,21,0.476,3,8,0.375,21,22,0.955,1,3,4,7,2,2,4,4,44,37.2,5
71,70,3/25/2015,25-211,HOU,@,NOP,W (+2),1,37:25:00,9,20,0.45,1,4,0.25,6,9,0.667,0,6,6,10,1,1,2,3,25,20.7,-2
72,71,3/27/2015,25-213,HOU,,MIN,W (+10),1,36:56:00,9,19,0.474,6,12,0.5,9,10,0.9,1,3,4,8,5,0,3,4,33,30.5,10
73,72,3/29/2015,25-215,HOU,@,WAS,W (+8),1,37:50:00,7,20,0.35,1,6,0.167,9,10,0.9,0,3,3,6,2,1,3,3,24,16,1
74,73,3/30/2015,25-216,HOU,@,TOR,L (-3),1,37:57:00,9,22,0.409,3,8,0.375,10,12,0.833,2,3,5,5,1,0,3,3,31,21,-13
75,74,4/1/2015,25-218,HOU,,SAC,W (+4),1,37:33:00,16,25,0.64,8,9,0.889,11,13,0.846,2,6,8,6,3,0,7,1,51,42.1,10
76,75,4/2/2015,25-219,HOU,@,DAL,W (+7),1,38:57:00,6,15,0.4,2,8,0.25,10,12,0.833,0,4,4,6,1,0,5,2,24,15.7,12
77,76,4/5/2015,25-222,HOU,@,OKC,W (+3),1,38:04:00,12,22,0.545,6,9,0.667,11,13,0.846,2,4,6,6,3,0,3,6,41,34,-3
78,77,4/8/2015,25-225,HOU,@,SAS,L (-12),1,35:22:00,6,15,0.4,2,6,0.333,8,8,1,2,2,4,4,1,0,1,1,22,18.3,-26
79,78,4/10/2015,25-227,HOU,,SAS,L (-1),1,37:41:00,5,19,0.263,2,5,0.4,4,6,0.667,0,2,2,10,3,0,4,2,16,9.7,-2
80,79,4/12/2015,25-229,HOU,,NOP,W (+7),1,37:47:00,10,18,0.556,1,6,0.167,9,9,1,0,1,1,7,1,1,4,2,30,23.5,1
81,80,4/13/2015,25-230,HOU,@,CHO,W (+10),1,36:53:00,7,20,0.35,1,8,0.125,14,16,0.875,2,4,6,6,1,2,2,1,29,23.8,0
82,81,4/15/2015,25-232,HOU,,UTA,W (+26),1,27:27:00,3,8,0.375,2,5,0.4,8,8,1,0,11,11,10,1,1,6,2,16,16.8,28
