polarity,tweet
0,NBA nuggets Bucks Post the spurs you frauds
0.395238095,NBA nuggets Bucks Best center right now
0.5,NBA nuggets Bucks Embiid and Giannis are better
0,this Joker dimenuggets 81Bucks 83 NBA TV
0,Bucks Graig gt lopezPortisgtlopezMy grandmagtlopez
0,LucasOhland Bucks no wonder he got no type of votes just kidding but it definitely aint helping
0,TweenHesiKhash Bucks They always seem to forget on the Khris tweets for some reason
-0.5,Bucks Lopez too slow and so bad on offense
0,Bucks And we blew it away
0,Bucks yall gotta start adding the all star hashtags on all your tweets imo
-0.714285714,Bucks This team is just disgraceful with a lead They get complacent and just chuck up bricks and I am sick of it
-0.227777778,Bucks Augustin slow down the play
-0.125,sargentpedro11 Bucks Its the usual 9 point lead to 1 in 1 minute The second giannis to the bench I just waited for it to happen
0.6,Bucks Nice choke on that lead huh
0,Bucks and nuggets BALLIN
0.29,Bucks Great strategy leaving Jokic wide open pretty sure thatll work
0.144444444,DarioMelendez Hope you enjoy because it may be your last Maybe you should focus on your job rather than social m
0.6,Bucks Nice job selling the lead
0,Bucks Not anymore We up by 1
0,Bucks trade connaughton and lopez
0,Bucks Didnt count Nuggets still lead
0.35,Bucks I love this so much
0.283333333,Bucks Ridiculous pass from Giannis Incredible
0,panavgogte Bucks I agree
0.5,Bucks better shooter than curry
0,Bucks I wonder when Giannis will start to get some calls
-0.4,gurpritjohal Bucks You even watching the game
0.7,DenverNugs4Life Bucks imanangkil TCraig23 Youre welcome ig Well try to get him a championship cuz thats the goal lmao
0.15,NBA nuggets Bucks How many calls are the refs gonna miss your n Giannis get your shit together
0.8,olskool888 Bucks Happy Birthday MJ
0.145833333,Bucks Here we go again Play legit team and get spanked not hard guard the threes Stop playing with the percentages
0,Giannis biggest fan NBATV Bucks BleacherReport GiannisAn34 CenterCourt
0,Bucks solid squad
0,Bucks nuggets can somebody play some defense please
0,Bucks Shits refs on both sides but we need to stop the Choke
-0.4,OfficialNBARefs Bucks nuggets NBATV Where is the post with the referees photos for the tonight warriorsspurs game
-0.55,LSFnJ Bucks That poor guy had to watch a lot of bad basketball
0,deanethebean Bucks I agree
0,panavgogte Bucks Thats a sentence I would never have imagined reading
0.1375,Love the effort and energy from the bucks so far Tighten up the rotations off penetration a little and its a W
0.133333333,Bucks nice now outscore them the whole game
0,NBA nuggets Bucks Big battle
0,Bucks And pat
0,Bucks Bench brook
0,Bucks but we are losing cuz we arent guarding mf will barton cmon now
0,BarryNelsonWI NBATV Bucks YouTubeTV fswisconsin Its not YouTube tvs fault oN this on If you look at the pro
0.35,MBBOWT14 Bucks Barton isnt that great trust me Hes having a great game rn but hes very inconsistent
0,Bucks Pain
0,NBATV Bucks nuggets BleacherReport Lets see what this will do nuggets NBATV
0,NBA nuggets Bucks I was smoking blunts with LeBron James when all of a sudden a fraud appeared Who wouldve tho
-0.5,Bucks bro you can slide on those pictures WTF
0,sadsteelersguy NBA nuggets Bucks I do on YTTV but ofc its blacked out
0,Bucks Lets go bucks we got this
0.6,Bucks lmao lit
0.25,Everythings better in yellow bucks BleacherReport centercourt
0,amarabyan NBA nuggets Bucks Theyre all playing defense Theyre just both hitting a lot of contested 3s
0,Bucks and all of a sudden they had no fans left fswisconsin
0,NBA nuggets Bucks Damn the bucks suck asscheeks
-0.35,NBA nuggets Bucks This no defense game is trending lately
0.25,NBA nuggets Bucks Denvers coaching holds the nuggets back Murray and MPJ would be averaging 25 ppg on a competent team like the Nets
0,NBATV Bucks nuggets BleacherReport Respect the drip MileHighBasketball
0,NotSwagRn watch out celtics sixers Bucks
1,Kostapachneris TiWindisch Bucks Klay was playing through injury hence being out injured the best part of 2 year
0,NBA nuggets Bucks Lets go bucks
0.6,Bucks thats a nice 1010 in a dunk contest
0,NBA nuggets Bucks End of the 3rd QuarterBucks100Nuggets78
0.1,NBA nuggets Bucks Amazing game
0.5,NBA nuggets Bucks Nuggets are better
0,NBA nuggets Bucks Jokic gt Runanddunk
0,NBA nuggets Bucks Does anyone actually have NBA TV
0,Bucks If Bucks had a guy like Barton in his place its all over Who could spell the 2 and 3 and guard both and
0,NBA nuggets Bucks Gianns step up
0,NBA nuggets Bucks Will
0,HALFTIME on NBA TVnuggets 62Bucks 59Will Barton 20 PTSKhris Middleton 14 PTS 5 REB 5 AST
-0.4,Bucks send pat connaughton and brook lopez to retire they cost us the game
-0.3,Bucks Pls get rid if pat and lopez Thet are both god damn useless completely and utterly useless
0.2,CantStopJaire Bucks Honestly Im ok with that He is having a rough year
0,Bucks Dont play brook and pat is inconsistent
0.35,Bucks Cool Trade Lopez
0.5,Bucks Okay now add bud to the fired coach tally and Lopez to trade tally
0,Well the results are in Tie breaker goes to going to bed Goodnight Bucks fans
0,Bucks i got him over lebron atm
0,Bucks trade pat connaughton
0,Bucks Trade Brick
0,Bucks Pat Trashed
0.2,Thanks nuggets Bucks
0,Bucks You losing Today
0,Bucks Please play Bobby over Brook
0,Bucks Start portis and fire bud
0,Bucks Get rid of bud and Lopez
0,Bucks We suck
0,Bucks cmon bucks
0,two guys from sombor are currently fighting battles joker in nuggets against Bucks and filipkrajinovic on
0,jr0166 NBA SacramentoKings Bucks swipathefox GiannisAn34 You will see
0.5,eurostep2canada Bucks giannis spin is more og than pascals
0,VicLombardi BallArenaDenver nuggets Bucks Somehow the back to back MVP gets away with shooting 28 from deep
0,Bucks hey when did Pascal Siakam get traded to the Bucks
0.3,NBATicket Weve got another exciting CenterCourt matchup on NBA TVBucks vsnuggets 930pm ET
0,MRHATER84 Bucks I guess you missed the 1st quarter
0.825,Bucks I know he probably is not going to win MVP but it is beautiful how Giannis just dances through NBA defenses
0.7,Good Defense Bucks
0,Bucks giannis OP pls nerf
0.177777778,Bucks BrynjForbes 54 pts with 3 min left in the half Announcer says how good Denver is playing defense
0,Bucks Running and dunking what a surprise
0,Bucks Please get lopez off the team
0,Bucks Spin buds jaw
0.24375,Happy Birthday RaymondI mean Marques Bucks
0,Bucks TCraig23 People be fiiiiiiiiiinnnnnnnnne
