polarity,tweet
-0.5,hornets Too bad I cant watch you guys on tv Sinclair sucks You need to fix this
0.4,NBA hornets MELOD1P Commentator sound like he gonna bust a nut everytime
0,NBA hornets MELOD1P Just rename the account LaMelo Ball Stan at this point
0.125,HornetsOnFSSE MELOD1P hornets I SAID IT FIRST BIG BALLER BRAND THE SAGA CONTINUE
-0.2,CosmicDuck hornets Sprite MELOD1P Hes just going to stuff Devonte into the lineup like he did a few nights a
0,ayecee17 NBA hornets MELOD1P last yearsgt
0.7,NBA hornets MELOD1P dude just so good
0.136363636,hornets NewAmsterdam Did someone put New Amsterdam in the lemonade again because IM BUZZED
0.5,hornetsfan5 hornets we on a winning streak now
0.4,NBA hornets MELOD1P If theres a pro wrestling commentator position open the hornets playbyplay guy needs to apply Bro is hyped lol
0.2,EazyDB hornets Sprite MELOD1P Chill out dont cry to much
0,buzzszn KDxalute hornets BlueCrossNC there he is
0.2,NBA hornets Yes sir Haters running out of excuses MELOD1P the real deal
0.7,BuzzShitty MagicJohnson NBA hornets The panthers blocked me but the panthers arent that good so I dont even
0,Humdiddly Dee hornets
0.25,ayecee17 NBA hornets MELOD1P Uhh last years was better
-0.1,My wife told me not to get carried away about the hornets I texted back Dont harsh my Melo
0,nuggets shooting like hornets with the 3s
0.295238095,hornets one of the most underrated teams in the league right now in terms of how theyre playing their young ros
0,NBA hornets MELOD1P On fire
-0.4,NBA hornets MELOD1P And this was an off game btw
0,woxkhardt Kavanagh25 NBA hornets Thank u
-0.216666667,Akgamestar van1k Kavanagh25 NBA hornets Man its not an excuse dudes obviously got crazy talent but it was
0.2,lemickey7 hornets Are u really
0,hornets Lowes Dont care nets in 4
0.34375,KDxalute NBA hornets MELOD1P I mean is sweeping the Hornet supposed to be impressive
0,hornets Lowes hornets would beat lakers in 4
0,lemonli98052080 Zlics MagicJohnson NBA hornets because I said I wanna see Miles and PJ make out
0.5,NBA hornets MELOD1P This rookie class is the best weve seen in recent years
0.1,NBA hornets MELOD1P Clear of Carmelo Anthony
-0.1,NBA hornets MELOD1P Omg he makes me wet
0.5,NBA hornets MELOD1P better than dame
0.5,NBA hornets MELOD1P Melo already a better range shooter than MJ
0.1,hornets Wow he must not have hulu
-0.2,NBA hornets MELOD1P Dont care the bobcats are shit
0,I see you hornets
0.5,NBA hornets MELOD1P Better then run and dunk edwards
0,NBA hornets MELOD1P Roty without a doubt
0,NBA hornets MELOD1P Jeez we get it
0,NBA hornets MELOD1P Dont care nets in 4
0,LaMelo ties the hornets rookie record with 7 threes MELOD1P 24 PTS 10 AST
0.09375,2Lexicon Kavanagh25 NBA hornets hes been my favorite player since HS but i see what you mean they forget ab
0,joeharrisburne1 KDxalute hornets BlueCrossNC Joe Harris
0.5,HornetsOnFSSE AhmadMonk hornets i love this team
0,BuzzShitty Zlics MagicJohnson NBA hornets Why they block you
0,NBA FINALHoustonRockets 94hornets 119NBATwitter NBATwitterLive
0,HornetsOnFSSE AhmadMonk hornets keep it uplets go
-0.3,hornets color commentator is slowly rising through the ranks as well The way he says MILES BRIDGESSSSSSSSSSSS
0,hornetsfan5 hornets Yeah I am
-0.275,2Lexicon van1k Kavanagh25 NBA hornets Bro yall gotta stop using this sorry ass excuse for every player yall
0,Qwadruple hornets Sprite MELOD1P Yes that has been the case which is why Im not convinced its going to stay l
0,lemickey7 hornets Your not even a Hornets fan
0.5,hornets I love yall
0,ROOKIE OF THE YEARThats it Thats the tweetAllFly MELOD1P hornets
0.25,Zlics MagicJohnson NBA hornets to be fair they blocked me while they were still shit Well before Lamelo
0,There you go hornets
-0.3,hornets NewAmsterdam My god your announcer is crazy gets me psyched up LaMelo is not the only reason I tune in
0,2Lexicon van1k Kavanagh25 NBA hornets How does that logic work
0,NBA hornets This guy show play by play all his potential prepare for him
