polarity,tweet
0,StopWhoa HoustonRockets So is Silas
0,HoustonRockets What had happened
0.5,terryb7997 they sleeping on the 202 its okay BRING ME THOSE STIMMY checks and watch me make magic happe
0.027083333,hosendorf HoustonRockets Hard to do when you dont see the light of day after mid 3rd Q
0,bloodwall1 HoustonRockets Shut up
0,HoustonRockets And PJ Tucker is the only player on this team that has some type of value left trade him for some t
-0.388461538,HoustonRockets Its juat so badyou can loose games but not like that Its just so bad guys Were injury prone fro
0.110714286,joe30269128 HoustonRockets Enjoy your Mickey Mouse dub hope you sleep tight
-0.021212121,Ready to live tweet the hornets vs HoustonRockets game for my JMC306 class
0,HoustonRockets I would just trade Victor for anything I dont even care anymore sign Omari Spellman and bring up
0,xxbabyracksxx HoustonRockets Tanking never a option we have enough pieces and cap space to make something shake without tanking
-0.2375,I am not even mad about this L the guys played as hard as they could amp were missing 3 of our main guys onto the nex
-0.277777778,HoustonRockets Somebody needs to tell boogie to stay down lowand step his game up
-0.06,Theres NO way that in a 3pt game that required only 43 total points in the final quarter a PROFESSIONAL basketb
0,JeffreyMarcin HoustonRockets poverty franchise
0,How do the HoustonRockets score 7 points in the 4th quarter to blow the over BadBeat
1,Yall should have retired his jersey he did some legendary stuff in that jersey HoustonRockets yall know what
0,PorscheFan4life bloodwall1 LaneSwish HoustonRockets wall and Gordon both averaging 20 and wood is an all star y
0,Febuary 8th 2021 HoustonRockets 94 vs hornets 119JohnWall Inactive boogiecousins 9 Pts 9 Rebs 1 As
0,nickmcpherson7 HoustonRockets poverty franchise
-0.8,HoustonRockets Quit tanking you are just pissing your fan base off
-0.35,HoustonRockets Trading levert was a bad idea Dude can carry this team with wall and gordon resting Facts only
0,HoustonRockets Trade pj and oladipo please
-0.2,How you only score 7pts in the 4th quarter of a close game HoustonRockets
0,TheAuthquake HoustonRockets Didnt yall lose to Charlotte too
0,HoustonRockets I wouldnt trade DeMarcus Cousins because you only paying him 2 million but you should definitely s
0,HoustonRockets SEVEN POINTS IN THE 4TH QUARTER
0,HoustonRockets How did we go from within 2 to losing by 25
-0.3125,zaihhy 25MJK HoustonRockets By stars you mean a flash in the pan and two washed veterans
0,TheAuthquake HoustonRockets Dont act like yall didnt hold this L piece too
0,HoustonRockets Were ass without Wood
0.05,bloodwall1 LaneSwish HoustonRockets Walls old ass woulda got injured the second he stepped on the court Wood i
-0.25,HoustonRockets The longer it takes for us to get rid the players thats not fitting its going to take away from t
-0.5,HoustonRockets OMG Im actually going insane we literally just scored 7 points in a quarter
0.5,YpcJordan georgeIufc HoustonRockets Its protected for top 4 I believe
0,HoustonRockets Despicable and disgraceful We cant shoot we cant defend and we cant stop giving possessions away
-0.4,HoustonRockets Fuck off busted put your ass 7 point
0,HoustonRockets Does Stephen Silas dislike Demarcus Cousins Did he sleep with his wife or something Still dont ge
0,HoustonRockets collapsed in the 4th smh
-0.1,FKNTORO HoustonRockets hornets NBATV SHAQ shaqtin The way he just tries to play it off has me laughing still
-0.4,DavisSearcy HoustonRockets An Eric Collins quote from the game
0.025,xxbabyracksxx HoustonRockets and a bunch of first round picks
0.2,HoustonRockets really 7 points in the Last quarter 2 triples and a free kick in 12 minutes NBAspain NBA
0,HoustonRockets Make some moves Dipo and PJ are trash and consider Jae Sean Tate Franchise Player
-0.3,HoustonRockets Lose again that coach is sucks man
-1,HoustonRockets Terrible package for Harden trade
-0.4,HoustonRockets 7 point man 7 i fuck you houston fuckk youuuuuuuuuuuuuuuuuuuu
-0.007142857,gogdervloger HoustonRockets Bro PJ Sucker It was right there
0.5,Brb gonna bleach my eyes real quick HoustonRockets
0.8,HoustonRockets Great 4th quarter effort by the Rockets2 for 17 shooting5 turnoversGot their shot blocked 4
0,LaneSwish HoustonRockets No wall wood Gordon You just beat a g league roster clown
-0.4,bloodwall1 HoustonRockets Shut the fuck up and bow
0,HoustonRockets dawg tucker is so ass
0,HoustonRockets Gg guys well played
0,Had the hornets and HoustonRockets over at 219 they got to 213 because the HTown Rockets scored 7 points in
-0.6,HoustonRockets Yall tripping Victor went crazy
0,HoustonRockets Mason Jones deserves an Oscar for this performance Flop masonjones Rockets Hornets NBA
0.8,joe30269128 HoustonRockets Congrats on your g league team win
0,thesmartbettor HoustonRockets HoustonWe have a problem
0.5,RocketsRun HoustonRockets Dipo and Tucker for Herro and Precious
0,HoustonRockets Fire this joker of the coach we have
0,25MJK HoustonRockets You won versus a team that has three stars injured
0.6,HoustonRockets that seals the deal as honest rockets fan i say we trade dipo and tank and trade for kevin durant
0,HoustonRockets trade pj tucker and oladipo asap
0,HoustonRockets get the man in the picture to Florida
-0.5,HoustonRockets Whats wrong is professionals needing to rest between games If he is still hurt then he should not
0,HoodieHarden HoustonRockets N tucker
0.766666667,HoustonRockets Hornet fans all over this tweet lol Good win i guess
-0.066666667,HoustonRockets 7 points the whole 4th quarter Thats ridiculous
0.3,Finally some good news for Kansas City They scored more points last night than the HoustonRockets put up in the
-1,HoustonRockets 7 4th qtr points Disgusting
0.064285714,HouStanRocketss Kelesxs HoustonRockets Cant single out one player if the whole team managed a combined 7 points in the quarter
0,YpcJordan theprism89 HoustonRockets Obvious troll
0.1,HoustonRockets 7 points Oh good lord I knew the team would have some struggles this season but 7 points Oh well on to the next game
0.5,HoustonRockets this photo is better tbh
-1,theprism89 HoustonRockets rehire MDA this is a horrible copy and paste
-0.25,radicaldawit hornets CodyZeller HoustonRockets HornetsOnFSSE wfnz I dunno guy seems kinda small to be an NBA
0.333333333,Not only are the hornets suddenly the best team since the 92 Bulls their defense held HoustonRockets to a 7 poin
0,HoustonRockets Busted Houston busteddddddddddddddd
0,HoustonRockets Silas was comedy
0,HoustonRockets Why did we trade Lavert for Olidipo
0,AndyFromCLT HoustonRockets I wish that kid played for our team tbh
0,HoustonRockets PACK
0,HoustonRockets TRADE FOR DEAARON FOX
