DATE,HOME_ABBR,VISITOR_ABBR,MARGIN,PTS_home,PTS_away,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
2021-01-22,CHO,CHI,-14.487499999999997,105.3125,119.8,0.44271875000000005,0.6900625,0.3593125,28.125,45.09375,0.4779333333333333,0.8059499999999999,0.3844666666666666,25.3,42.4,0
2021-01-22,DET,HOU,-7.196428571428584,107.39285714285714,114.58928571428572,0.4143928571428572,0.7770714285714286,0.3472857142857143,23.67857142857143,43.85714285714286,0.4622857142857143,0.7204107142857143,0.3600892857142858,23.875,47.05357142857143,0
2021-01-22,IND,ORL,1.9583333333333428,112.91666666666667,110.95833333333333,0.47525000000000006,0.7491041666666667,0.3575416666666667,25.385416666666668,41.53125,0.47670833333333335,0.7975833333333333,0.3642499999999999,24.375000000000004,45.66666666666667,1
2021-01-22,CLE,BRK,-9.48506493506494,105.42857142857143,114.91363636363637,0.45449999999999996,0.6701428571428572,0.36364285714285716,25.32142857142857,44.71428571428572,0.4541181818181818,0.8110136363636362,0.3730545454545454,26.722727272727276,46.76818181818182,1
2021-01-22,PHI,BOS,6.05952380952381,116.16666666666667,110.10714285714286,0.482875,0.7547083333333334,0.3673333333333334,26.125,46.41666666666667,0.4608869047619048,0.7337797619047619,0.35398809523809527,22.630952380952383,40.9404761904762,1
2021-01-22,TOR,MIA,-4.678571428571416,109.71428571428572,114.39285714285714,0.4353571428571429,0.8190714285714287,0.36432142857142863,25.107142857142854,42.67857142857143,0.4552857142857143,0.7703928571428571,0.36626785714285715,25.285714285714285,42.660714285714285,1
2021-01-22,MIN,ATL,-4.88095238095238,106.94047619047619,111.82142857142857,0.44778571428571423,0.7265535714285714,0.34814285714285714,24.136904761904763,45.273809523809526,0.4425,0.8135,0.3365,22.785714285714285,45.35714285714286,0
2021-01-22,SAS,DAL,1.4027777777777715,108.77777777777777,107.375,0.4402222222222222,0.754611111111111,0.3419583333333333,25.22222222222222,46.486111111111114,0.44723749999999995,0.7338500000000001,0.32221249999999996,22.4625,45.8875,0
2021-01-22,LAC,OKC,4.471726190476176,115.10267857142857,110.6309523809524,0.48374107142857137,0.83540625,0.4391785714285714,25.59375,42.70089285714286,0.4557261904761904,0.7399583333333333,0.33791666666666664,25.4047619047619,50.0654761904762,1
2021-01-22,PHO,DEN,0.6402777777777828,111.0625,110.42222222222222,0.47208333333333335,0.8308819444444446,0.3846180555555556,25.09722222222222,42.888888888888886,0.4885166666666667,0.7546777777777779,0.38170000000000004,26.9,40.06111111111112,0
2021-01-22,SAC,NYK,11.594047619047629,113.72500000000001,102.13095238095238,0.47984999999999994,0.718025,0.373825,25.625000000000004,41.475,0.4246071428571429,0.7552738095238096,0.30073809523809525,23.107142857142858,44.63095238095239,1
2021-01-23,BRK,MIA,7.477813852813853,120.29924242424242,112.82142857142857,0.4953901515151515,0.8095075757575757,0.39966287878787876,26.174242424242422,45.93181818181818,0.4557857142857143,0.7736071428571429,0.37275,24.928571428571427,42.892857142857146,1
2021-01-23,DET,PHI,-0.9285714285714306,107.07142857142857,108.0,0.41220982142857143,0.7675491071428573,0.3583482142857143,23.11607142857143,44.79464285714286,0.42852500000000004,0.7943250000000001,0.34337500000000004,24.7,46.075,0
2021-01-23,MIN,NOP,-4.6499999999999915,106.08333333333333,110.73333333333332,0.44518749999999996,0.7368125,0.3385,24.645833333333332,44.697916666666664,0.45991666666666675,0.6813,0.3873666666666667,26.833333333333332,40.516666666666666,1
2021-01-23,CHI,LAL,14.018750000000011,116.80000000000001,102.78125,0.45859999999999995,0.8409500000000001,0.372175,23.35,45.125,0.4406874999999999,0.76428125,0.33853125,24.0625,42.34375,0
2021-01-23,DAL,HOU,-8.961850649350637,104.07386363636364,113.03571428571428,0.4409090909090909,0.6932272727272726,0.33954545454545454,21.75568181818182,44.69886363636364,0.4530357142857143,0.725107142857143,0.3709285714285714,23.07142857142857,47.92857142857143,0
2021-01-23,PHO,DEN,0.7277777777777601,113.19999999999999,112.47222222222223,0.47598333333333326,0.8537944444444445,0.38255555555555565,25.922222222222224,43.18888888888888,0.4894166666666667,0.7791527777777778,0.38225,27.25,40.736111111111114,0
2021-01-23,UTA,GSW,-5.625,112.40277777777777,118.02777777777777,0.46055555555555555,0.72125,0.3932777777777778,23.51388888888889,49.06944444444444,0.4620694444444444,0.7686666666666667,0.38322222222222224,23.84722222222222,51.27777777777778,1
2021-01-24,IND,TOR,1.5892857142857224,113.5,111.91071428571428,0.4769583333333334,0.7598750000000001,0.3565416666666667,25.708333333333336,41.791666666666664,0.45403571428571426,0.8135937499999999,0.3689642857142857,27.263392857142858,45.120535714285715,0
2021-01-24,LAC,OKC,3.758928571428555,115.48809523809523,111.72916666666667,0.48617857142857146,0.8459166666666667,0.4280119047619047,25.166666666666668,43.10714285714286,0.46183333333333326,0.7395833333333334,0.3357604166666667,24.989583333333332,49.864583333333336,1
2021-01-24,BOS,CLE,4.919642857142861,110.0625,105.14285714285714,0.45584375,0.7487499999999999,0.35903125,22.46875,43.9375,0.45074553571428577,0.6538124999999999,0.3856294642857143,24.46875,46.75892857142857,1
2021-01-24,ORL,CHO,-7.414285714285725,103.05,110.46428571428572,0.4264,0.783875,0.33887500000000004,21.35,47.175,0.4600982142857143,0.7401875,0.3564151785714286,29.1875,46.39732142857143,0
