ID,DATE,HOME_ABBR,VISITOR_ABBR,PTS_home,PTS_away,MARGIN,HOME_TEAM_WINS,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away
39,2020-12-27,LAL,MIN,127.0,91.0,36,1,0.556,0.778,0.371,32,46,0.369,0.643,0.171,24,48
40,2020-12-28,BRK,MEM,111.0,116.0,-5,0,0.41,0.882,0.33299999999999996,28,50,0.429,0.759,0.345,20,56
41,2020-12-28,ATL,DET,128.0,120.0,8,1,0.488,0.875,0.47600000000000003,30,45,0.439,0.875,0.317,24,48
42,2020-12-28,OKC,UTA,109.0,110.0,-1,0,0.465,0.737,0.395,21,37,0.5,0.7859999999999999,0.361,24,43
43,2020-12-28,DEN,HOU,124.0,111.0,13,1,0.529,0.563,0.452,31,52,0.45299999999999996,0.7390000000000001,0.41,25,38
44,2020-12-28,LAL,POR,107.0,115.0,-8,0,0.47100000000000003,0.833,0.37,20,41,0.467,0.867,0.348,27,45
45,2020-12-29,CLE,NYK,86.0,95.0,-9,0,0.364,0.682,0.21899999999999997,22,43,0.43,0.619,0.56,23,55
46,2020-12-29,DET,GSW,106.0,116.0,-10,0,0.38,0.7929999999999999,0.371,21,45,0.5,0.722,0.424,21,40
47,2020-12-29,IND,BOS,111.0,116.0,-5,0,0.512,0.813,0.364,27,36,0.5,0.73,0.409,21,43
48,2020-12-29,WAS,CHI,107.0,115.0,-8,0,0.44,0.885,0.27,25,47,0.43700000000000006,0.75,0.41700000000000004,26,37
49,2020-12-29,PHI,TOR,100.0,93.0,7,1,0.381,0.848,0.258,21,54,0.35600000000000004,0.857,0.37799999999999995,21,47
50,2020-12-29,MIA,MIL,97.0,144.0,-47,0,0.46799999999999997,0.667,0.297,23,30,0.5539999999999999,0.867,0.569,32,45
51,2020-12-29,OKC,ORL,107.0,118.0,-11,0,0.494,0.526,0.324,20,47,0.51,0.813,0.318,26,46
52,2020-12-29,PHO,NOP,111.0,86.0,25,1,0.44,0.9470000000000001,0.40399999999999997,24,43,0.48100000000000004,0.5,0.125,18,41
53,2020-12-29,SAC,DEN,125.0,115.0,10,1,0.489,0.773,0.485,33,37,0.5429999999999999,0.8,0.39299999999999996,27,39
54,2020-12-29,LAC,MIN,124.0,101.0,23,1,0.534,0.875,0.516,32,46,0.41600000000000004,0.8240000000000001,0.342,22,39
55,2020-12-30,MIA,MIL,119.0,108.0,11,1,0.488,0.828,0.385,25,52,0.392,0.9229999999999999,0.39,26,47
56,2020-12-30,BRK,ATL,145.0,141.0,4,1,0.54,0.7829999999999999,0.46299999999999997,30,40,0.475,0.8290000000000001,0.391,27,54
57,2020-12-30,BOS,MEM,126.0,107.0,19,1,0.5379999999999999,0.857,0.41,27,42,0.43,0.72,0.273,26,46
58,2020-12-30,DAL,CHO,99.0,118.0,-19,0,0.391,0.5760000000000001,0.28600000000000003,24,39,0.512,0.81,0.441,30,50
59,2020-12-30,SAS,LAL,107.0,121.0,-14,0,0.46,0.7390000000000001,0.41700000000000004,25,39,0.561,0.75,0.5379999999999999,25,47
60,2020-12-30,LAC,POR,128.0,105.0,23,1,0.495,0.727,0.474,30,47,0.42100000000000004,0.853,0.316,14,41
61,2020-12-31,IND,CLE,119.0,99.0,20,1,0.483,0.792,0.457,28,44,0.451,0.542,0.522,22,43
62,2020-12-31,WAS,CHI,130.0,133.0,-3,0,0.5,0.78,0.483,27,37,0.5429999999999999,0.76,0.389,34,44
63,2020-12-31,ORL,PHI,92.0,116.0,-24,0,0.34700000000000003,0.905,0.25,17,48,0.484,0.867,0.455,23,54
64,2020-12-31,HOU,SAC,122.0,119.0,3,1,0.523,0.76,0.361,26,45,0.469,0.75,0.33299999999999996,23,45
65,2020-12-31,TOR,NYK,100.0,83.0,17,1,0.41,0.7140000000000001,0.327,21,53,0.364,0.8,0.083,21,48
66,2020-12-31,OKC,NOP,80.0,113.0,-33,0,0.375,0.33299999999999996,0.313,24,40,0.484,0.632,0.361,23,58
67,2020-12-31,UTA,PHO,95.0,106.0,-11,0,0.41700000000000004,0.684,0.353,16,46,0.488,0.7,0.515,26,41
68,2021-01-01,CHO,MEM,93.0,108.0,-15,0,0.40700000000000003,0.667,0.29,23,42,0.478,0.8,0.359,34,48
69,2021-01-01,DAL,MIA,93.0,83.0,10,1,0.41,0.7390000000000001,0.324,18,49,0.37200000000000005,0.72,0.212,20,41
70,2021-01-01,DET,BOS,96.0,93.0,3,1,0.409,0.65,0.324,18,48,0.47,0.5,0.258,20,44
71,2021-01-01,BRK,ATL,96.0,114.0,-18,0,0.40700000000000003,0.826,0.18899999999999997,19,45,0.462,0.857,0.41,24,48
72,2021-01-01,MIL,CHI,126.0,96.0,30,1,0.494,0.667,0.489,27,44,0.43700000000000006,0.7,0.231,18,42
73,2021-01-01,MIN,WAS,109.0,130.0,-21,0,0.47700000000000004,0.5710000000000001,0.361,17,43,0.551,0.762,0.485,35,43
74,2021-01-01,SAS,LAL,103.0,109.0,-6,0,0.424,0.6920000000000001,0.382,23,45,0.406,0.813,0.424,27,58
75,2021-01-01,DEN,PHO,103.0,106.0,-3,0,0.45299999999999996,0.813,0.414,28,38,0.48700000000000004,0.905,0.371,24,37
76,2021-01-01,UTA,LAC,106.0,100.0,6,1,0.461,0.643,0.35700000000000004,28,46,0.38799999999999996,0.875,0.39399999999999996,19,43
77,2021-01-01,GSW,POR,98.0,123.0,-25,0,0.392,0.879,0.2,19,44,0.435,0.767,0.465,23,51
78,2021-01-02,HOU,SAC,102.0,94.0,8,1,0.444,0.7390000000000001,0.317,15,48,0.389,0.7140000000000001,0.321,11,47
79,2021-01-02,IND,NYK,102.0,106.0,-4,0,0.405,0.833,0.38,22,32,0.506,0.769,0.444,23,51
80,2021-01-02,ORL,OKC,99.0,108.0,-9,0,0.37,0.75,0.263,21,55,0.442,0.905,0.317,22,52
81,2021-01-02,PHI,CHO,127.0,112.0,15,1,0.595,0.708,0.457,35,45,0.413,0.885,0.371,34,40
82,2021-01-02,ATL,CLE,91.0,96.0,-5,0,0.41200000000000003,0.526,0.344,22,48,0.418,0.765,0.24100000000000002,19,46
83,2021-01-02,NOP,TOR,120.0,116.0,4,1,0.42200000000000004,0.7659999999999999,0.368,26,50,0.418,0.963,0.292,21,40
84,2021-01-03,DET,BOS,120.0,122.0,-2,0,0.47700000000000004,0.88,0.444,29,33,0.563,0.6920000000000001,0.455,35,41
85,2021-01-03,BRK,WAS,122.0,123.0,-1,0,0.494,0.903,0.43799999999999994,25,51,0.413,0.735,0.364,27,49
86,2021-01-03,MEM,LAL,94.0,108.0,-14,0,0.41100000000000003,0.875,0.273,23,50,0.461,0.737,0.34299999999999997,24,49
87,2021-01-03,MIN,DEN,109.0,124.0,-15,0,0.518,0.688,0.32299999999999995,30,36,0.489,0.7140000000000001,0.42200000000000004,34,43
88,2021-01-03,SAS,UTA,109.0,130.0,-21,0,0.419,0.7140000000000001,0.316,23,45,0.551,0.579,0.512,29,57
89,2021-01-03,CHI,DAL,118.0,108.0,10,1,0.45899999999999996,0.9,0.35100000000000003,16,48,0.43799999999999994,0.7040000000000001,0.262,23,41
90,2021-01-03,PHO,LAC,107.0,112.0,-5,0,0.493,0.821,0.303,23,40,0.48200000000000004,0.789,0.586,24,37
91,2021-01-03,GSW,POR,137.0,122.0,15,1,0.557,0.765,0.382,23,53,0.418,0.7879999999999999,0.326,16,40
92,2021-01-04,ORL,CLE,103.0,83.0,20,1,0.43200000000000005,0.9229999999999999,0.441,22,54,0.38799999999999996,0.583,0.35700000000000004,20,35
93,2021-01-04,PHI,CHO,118.0,101.0,17,1,0.484,0.652,0.344,34,55,0.419,0.727,0.33299999999999996,30,47
94,2021-01-04,ATL,NYK,108.0,113.0,-5,0,0.46,0.7829999999999999,0.32299999999999995,24,40,0.506,0.8,0.33299999999999996,26,45
95,2021-01-04,MIA,OKC,118.0,90.0,28,1,0.568,0.556,0.47100000000000003,34,47,0.36700000000000005,0.7040000000000001,0.271,20,38
96,2021-01-04,TOR,BOS,114.0,126.0,-12,0,0.4,0.763,0.35100000000000003,20,37,0.488,0.853,0.517,19,56
97,2021-01-04,HOU,DAL,100.0,113.0,-13,0,0.39,0.8059999999999999,0.275,17,35,0.47600000000000003,0.95,0.41,24,51
98,2021-01-04,MIL,DET,125.0,115.0,10,1,0.5760000000000001,0.813,0.41200000000000003,32,49,0.439,1.0,0.425,27,31
99,2021-01-04,NOP,IND,116.0,118.0,-2,0,0.436,0.792,0.33299999999999996,26,57,0.484,0.6920000000000001,0.42200000000000004,32,42
100,2021-01-04,GSW,SAC,137.0,106.0,31,1,0.526,0.857,0.535,41,48,0.37799999999999995,0.718,0.28600000000000003,20,52
101,2021-01-05,BRK,UTA,130.0,96.0,34,1,0.5589999999999999,0.75,0.389,31,51,0.384,0.7040000000000001,0.324,17,41
102,2021-01-05,MEM,LAL,92.0,94.0,-2,0,0.414,0.769,0.385,24,38,0.43700000000000006,0.818,0.29,24,52
103,2021-01-05,DEN,MIN,123.0,116.0,7,1,0.519,0.733,0.32,22,42,0.462,0.778,0.324,24,42
104,2021-01-05,LAC,SAS,113.0,116.0,-3,0,0.5,0.9229999999999999,0.429,29,45,0.45799999999999996,0.727,0.5,23,44
105,2021-01-05,POR,CHI,108.0,111.0,-3,0,0.415,0.647,0.373,23,46,0.44,0.833,0.39,27,52
106,2021-01-06,IND,HOU,114.0,107.0,7,1,0.47200000000000003,0.8079999999999999,0.391,21,38,0.48100000000000004,0.8079999999999999,0.267,19,39
107,2021-01-06,ORL,CLE,105.0,94.0,11,1,0.494,0.722,0.414,20,43,0.424,0.6920000000000001,0.154,24,45
108,2021-01-06,PHI,WAS,141.0,136.0,5,1,0.617,0.6970000000000001,0.621,33,35,0.5,0.743,0.43200000000000005,27,35
